,record_id,supplier_id,supplier_name,item_id,item_description,purcahse_order_id,order_date,promised_delivery_date,actual_delivery_date,promised_lead_time_days,actual_lead_time_days,lead_time_variance_days,quantity_ordered,quantity_received,on_time_delivery,lead_reason,order_status,buyer_id,buyer_name
0,REC-000001,SUP-014,Ironclad Metals,ITM-0027,Solenoid Valve 24V,PO-100000,2024-03-10,2024-04-03,2024-04-01,24,22,-2,1533,1533,true,On time,delivered,BUY-09,Mei Chen
1,REC-000002,SUP-024,Vertex Adhesives,ITM-0025,Caster Wheel 100mm,PO-100001,2026-05-15,2026-05-21,2026-05-22,6,7,1,437,437,false,production backlog,delivered,BUY-04,Tom Becker
2,REC-000003,SUP-002,Meridian Logistics,ITM-0012,Capacitor 470uF 25V,PO-100002,2024-09-15,2024-10-27,2024-10-31,42,46,4,261,261,false,weather disruption,delivered,BUY-11,Nina Petrova
3,REC-000004,SUP-013,Harbor Industrial Supply,ITM-0013,Resistor Kit 1/4W,PO-100003,2024-04-03,2024-04-14,2024-04-13,11,10,-1,189,189,true,On time,delivered,BUY-10,Omar Haddad
4,REC-000005,SUP-028,Borealis Polymers,ITM-0038,Insulation Foam Sheet,PO-100004,2025-03-12,2025-03-23,2025-03-21,11,9,-2,898,898,true,On time,delivered,BUY-07,Sara Lindqvist
5,REC-000006,SUP-019,Quartz Glassworks,ITM-0039,Cable Tie 200mm 100pk,PO-100005,2024-10-25,2024-11-02,2024-10-30,8,5,-3,1925,1925,true,On time,delivered,BUY-05,Priya Nair
6,REC-000007,SUP-023,Umbra Coatings,ITM-0011,PCB Connector 40-pin,PO-100006,2025-11-26,2026-01-01,2026-01-08,36,43,7,904,814,false,raw material shortage,partially delivered,BUY-12,Liam Murphy
7,REC-000008,SUP-014,Ironclad Metals,ITM-0009,PVC Pipe 50mm 3m,PO-100007,2024-09-26,2024-10-30,2024-11-02,34,37,3,1098,1098,false,raw material shortage,delivered,BUY-09,Mei Chen
8,REC-000009,SUP-020,Redwood Timber Co,ITM-0013,Resistor Kit 1/4W,PO-100008,2024-03-24,2024-04-23,,30,,,1303,0,,pending delivery,in transit,BUY-06,Diego Alvarez
9,REC-000010,SUP-023,Umbra Coatings,ITM-0032,V-Belt A-Section,PO-100009,2024-06-14,2024-06-20,,6,,,666,0,,pending delivery,in transit,BUY-05,Priya Nair
10,REC-000011,SUP-021,Sterling Valves,ITM-0008,Roller Bearing NU205,PO-100010,2024-09-21,2024-10-20,2024-10-21,29,30,1,1851,1851,false,customs/clearance delay,delivered,BUY-02,Marco Rossi
11,REC-000012,SUP-001,Atlas Components Ltd,ITM-0039,Cable Tie 200mm 100pk,PO-100011,2025-02-28,2025-03-22,2025-03-26,22,26,4,139,132,false,supplier capacity shortage,partially delivered,BUY-02,Marco Rossi
12,REC-000013,SUP-017,Nexus Semiconductors,ITM-0033,Filter Cartridge 10in,PO-100012,2025-04-25,2025-05-10,2025-05-08,15,13,-2,1046,902,true,On time,partially delivered,BUY-06,Diego Alvarez
13,REC-000014,SUP-001,Atlas Components Ltd,ITM-0022,Hard Hat White,PO-100013,2024-10-05,2024-10-15,2024-10-12,10,7,-3,226,226,true,On time,delivered,BUY-11,Nina Petrova
14,REC-000015,SUP-022,Titan Castings,ITM-0038,Insulation Foam Sheet,PO-100014,2025-06-25,2025-07-31,2025-07-31,36,36,0,1833,1333,true,On time,partially delivered,BUY-09,Mei Chen
15,REC-000016,SUP-017,Nexus Semiconductors,ITM-0013,Resistor Kit 1/4W,PO-100015,2026-04-28,2026-06-06,2026-06-09,39,42,3,641,641,false,incorrect documentation,delivered,BUY-05,Priya Nair
16,REC-000017,SUP-008,Crescent Chemicals,ITM-0038,Insulation Foam Sheet,PO-100016,2024-05-25,2024-06-06,2024-06-07,12,13,1,604,604,false,transport/carrier delay,delivered,BUY-12,Liam Murphy
17,REC-000018,SUP-026,Zenith Motors,ITM-0009,PVC Pipe 50mm 3m,PO-100017,2025-02-17,2025-03-30,2025-03-29,41,40,-1,639,639,true,On time,delivered,BUY-11,Nina Petrova
18,REC-000019,SUP-027,Apex Gaskets,ITM-0030,Gear Reducer 1:20,PO-100018,2024-01-05,2024-02-09,2024-02-09,35,35,0,1875,1875,true,On time,delivered,BUY-02,Marco Rossi
19,REC-000020,SUP-027,Apex Gaskets,ITM-0030,Gear Reducer 1:20,PO-100019,2025-09-26,2025-10-08,2025-10-13,12,17,5,1751,1751,false,customs/clearance delay,delivered,BUY-02,Marco Rossi
20,REC-000021,SUP-030,Delta Pneumatics,ITM-0021,Safety Gloves Nitrile L,PO-100020,2024-05-06,2024-05-28,,22,,,356,0,,pending delivery,in transit,BUY-06,Diego Alvarez
21,REC-000022,SUP-007,Orion Packaging,ITM-0028,Proximity Sensor M12,PO-100021,2024-04-17,2024-05-31,2024-06-02,44,46,2,1856,1856,false,quality hold/inspection,delivered,BUY-01,Aisha Khan
22,REC-000023,SUP-001,Atlas Components Ltd,ITM-0004,Mild Steel Plate 5mm,PO-100022,2025-01-17,2025-02-21,2025-02-23,35,37,2,256,256,false,raw material shortage,delivered,BUY-09,Mei Chen
23,REC-000024,SUP-015,Lumen Optics,ITM-0027,Solenoid Valve 24V,PO-100023,2026-04-21,2026-05-08,,17,,,1921,0,,cancelled,cancelled,BUY-07,Sara Lindqvist
24,REC-000025,SUP-028,Borealis Polymers,ITM-0023,Steel Bracket L-Type,PO-100024,2025-07-12,2025-07-23,2025-07-15,11,3,-8,1450,1450,true,On time,delivered,BUY-08,John O'Brien
25,REC-000026,SUP-005,Vanguard Fasteners,ITM-0038,Insulation Foam Sheet,PO-100025,2025-12-09,2026-01-13,,35,,,1272,0,,cancelled,cancelled,BUY-03,Lena Schmidt
26,REC-000027,SUP-024,Vertex Adhesives,ITM-0005,Hydraulic Hose 1in 10m,PO-100026,2025-12-31,2026-01-16,2026-01-16,16,16,0,931,931,true,On time,delivered,BUY-08,John O'Brien
27,REC-000028,SUP-007,Orion Packaging,ITM-0025,Caster Wheel 100mm,PO-100027,2024-12-29,2025-01-14,2025-01-14,16,16,0,236,236,true,On time,delivered,BUY-10,Omar Haddad
28,REC-000029,SUP-020,Redwood Timber Co,ITM-0010,Copper Wire 2.5mm 100m,PO-100028,2025-10-19,2025-12-03,,45,,,1919,0,,cancelled,cancelled,BUY-04,Tom Becker
29,REC-000030,SUP-004,BlueRiver Plastics,ITM-0024,Hinge Stainless 100mm,PO-100029,2024-05-08,2024-05-27,,19,,,644,0,,pending delivery,in transit,BUY-06,Diego Alvarez
30,REC-000031,SUP-010,Granite Tooling,ITM-0037,Rubber Mat 1x1m,PO-100030,2024-05-25,2024-06-23,,29,,,1159,0,,pending delivery,in transit,BUY-11,Nina Petrova
31,REC-000032,SUP-005,Vanguard Fasteners,ITM-0001,M8 Hex Bolt Stainless A2,PO-100031,2024-02-18,2024-03-23,2024-03-21,34,32,-2,1664,1664,true,On time,delivered,BUY-07,Sara Lindqvist
